Jurisdiction,Prob,Topic,Accuracy
           Texas  ,0.9259858798059137, 4 , 0.783967
            Utah  ,0.5176425832807996, 4 , 0.663698
         Vermont  ,0.9676094961672709, 4 , 0.810574
        Virginia  ,0.9227735409763224, 4 , 0.749136
      Washington  ,0.8719489939710456, 4 , 0.770053
   West Virginia  ,0.9493914769090016, 4 , 0.811803
       Wisconsin  ,0.965929866707946, 4 , 0.801786
         Wyoming  ,0.8524363690519976, 4 , 0.795956
         Alabama  ,0.8814467289949629,  5,  0.732545
          Alaska  ,0.9495099840285111,  5,  0.896667
         Arizona  ,0.8992887504267979,  5,  0.666089
        Arkansas  ,0.881234286689849,  5,  0.686051
      California  ,0.9016771363297567,  5,  0.760824
        Colorado  ,0.8328067489537193,  5,  0.462900
     Connecticut  ,0.9926033943113789,  5,  0.932994
        Delaware  ,0.8038898563718251,  5,  0.664812
         Florida  ,0.9846684701055324,  5,  0.894792
         Georgia  ,0.8579992570621335,  5,  0.798581
          Hawaii  ,0.9503830647099312,  5,  0.820826
           Idaho  ,0.9449187710013695,  5,  0.832059
        Illinois  ,0.9648839794051783,  5,  0.840967
         Indiana  ,0.9657876087444992,  5,  0.909738
            Iowa  ,0.9446882086436125,  5,  0.832667
          Kansas  ,0.9548600240041276,  5,  0.155556
        Kentucky  ,0.8191665450513717,  5,  0.538275
       Louisiana  ,0.8171909135006591,  5,  0.690758
           Maine  ,0.9137895925721712,  5,  0.558507
        Maryland  ,0.8962273876965441,  5,  0.718019
   Massachusetts  ,0.9968927639855972,  5,  0.844910
        Michigan  ,0.8797121444522078,  5,  0.548075
       Minnesota  ,0.9944174901418591,  5,  0.890049
     Mississippi  ,0.9677829002763892,  5,  0.807144
        Missouri  ,0.985137310640734,  5,  0.679952
         Montana  ,0.7886962492440269,  5,  0.742850
        Nebraska  ,0.9998977651834808,  5,  0.857666
          Nevada  ,0.8465018182116251,  5,  0.522246
   New Hampshire  ,0.7123291355188848,  5,  0.567340
      New Jersey  ,0.9751746719064728,  5,  0.892013
      New Mexico  ,0.986467019780512,  5,  0.766939
        New York  ,0.980394281293612,  5,  0.897716
  North Carolina  ,0.9465497994427575,  5,  0.791111
    North Dakota  ,0.822078679368113,  5,  0.636520
            Ohio  ,0.9636734493086306,  5,  0.795567
        Oklahoma  ,0.8940645136590677,  5,  0.814331
          Oregon  ,0.9582609755511068,  5,  0.879455
    Pennsylvania  ,0.9108485891140026,  5,  0.632327
    Rhode Island  ,0.9401167093973327,  5,  0.663905
  South Carolina  ,0.9561959992495652,  5,  0.827498
    South Dakota  ,0.8705991386939078,  5,  0.514493
       Tennessee  ,0.8888134247585611,  5,  0.774641
           Texas  ,0.926022447959465,  5,  0.785596
            Utah  ,0.526121414001898,  5,  0.662618
         Vermont  ,0.9603514828622015,  5,  0.789916
        Virginia  ,0.9223551491779775,  5,  0.749730
      Washington  ,0.870784818619365,  5,  0.761519
   West Virginia  ,0.9898607647622315,  5,  0.707248
       Wisconsin  ,0.9659759858883324,  5,  0.800000
         Wyoming  ,0.8591387623111396,  5,  0.761029
         Alabama  ,0.8807064649760434, 6 , 0.697860
          Alaska  ,0.9496209493266605, 6 , 0.893333
         Arizona  ,0.8959680605608515, 6 , 0.676656
        Arkansas  ,0.8443523447995269, 6 , 0.715971
      California  ,0.9019274464113733, 6 , 0.762141
        Colorado  ,0.8269512073057919, 6 , 0.461066
     Connecticut  ,0.9926248536150954, 6 , 0.932994
        Delaware  ,0.8228734134949763, 6 , 0.656598
         Florida  ,0.9846792869042553, 6 , 0.894642
         Georgia  ,0.8353298097894281, 6 , 0.797049
          Hawaii  ,0.950361055075573, 6 , 0.820720
           Idaho  ,0.944954491867718, 6 , 0.832155
        Illinois  ,0.9653923090776012, 6 , 0.841726
         Indiana  ,0.9700785499412953, 6 , 0.911678
            Iowa  ,0.94468526235087, 6 , 0.832710
          Kansas  ,0.9555519872583808, 6 , 0.111111
        Kentucky  ,0.827834821032096, 6 , 0.573896
       Louisiana  ,0.815335037724451, 6 , 0.696245
           Maine  ,0.9133776711954247, 6 , 0.600056
        Maryland  ,0.8961526402996495, 6 , 0.717927
   Massachusetts  ,0.996938746843521, 6 , 0.843894
        Michigan  ,0.9196290510100698, 6 , 0.710754
       Minnesota  ,0.9944070885866165, 6 , 0.885964
     Mississippi  ,0.9666293145795474, 6 , 0.814783
        Missouri  ,0.9815102282405082, 6 , 0.644928
         Montana  ,0.7869332590373977, 6 , 0.759118
        Nebraska  ,0.9999953481832261, 6 , 0.824699
          Nevada  ,0.8332608317572389, 6 , 0.587924
   New Hampshire  ,0.616897169617467, 6 , 0.565657
      New Jersey  ,0.9742315716095755, 6 , 0.892612
      New Mexico  ,0.986506787982138, 6 , 0.766939
        New York  ,0.9800831980921487, 6 , 0.902147
  North Carolina  ,0.9428553452493372, 6 , 0.785243
    North Dakota  ,0.8234420393709061, 6 , 0.654177
            Ohio  ,0.9636137683463083, 6 , 0.798030
        Oklahoma  ,0.8941344050681668, 6 , 0.816147
          Oregon  ,0.9588348850686976, 6 , 0.885172
    Pennsylvania  ,0.9100552999815511, 6 , 0.640716
    Rhode Island  ,0.9288354818476304, 6 , 0.659047
